country,region,year,total_museums,art_museums,history_museums,science_museums,population_millions,gdp_per_capita_usd,tourism_income_billion,culture_budget_percent,unesco_sites
Japan,Asia,2023,1769,423,752,594,1423.08,32482,167.22,1.91,6
New Zealand,Oceania,2015,192,48,93,51,582.73,14785,190.14,0.64,11
Morocco,Africa,2022,245,81,88,76,1171.18,62104,13.07,2.36,0
Uganda,Africa,2020,163,41,87,35,205.11,88059,101.02,1.5,9
South Korea,Asia,2023,1331,199,585,547,1131.56,56683,60.17,1.17,7
Mexico,Americas,2020,1366,383,694,289,550.15,73216,146.98,1.46,1
Uganda,Africa,2021,145,42,52,51,918.95,79288,26.0,1.73,7
UK,Europe,2021,7551,1958,3085,2508,1004.03,9518,151.57,0.11,10
South Korea,Asia,2015,2512,848,1249,415,1080.53,70231,142.92,2.17,12
South Africa,Africa,2023,171,43,78,50,1068.99,15373,1.63,0.93,14
New Zealand,Oceania,2021,596,168,269,159,1274.9,21823,128.7,2.44,8
Cuba,Americas,2023,2100,548,889,663,359.41,84940,116.7,0.25,1
Italy,Europe,2021,3247,811,1195,1241,46.58,11611,6.39,1.23,8
Uganda,Africa,2021,178,39,72,67,293.06,97182,37.24,0.99,1
Bangladesh,Asia,2020,3006,902,1373,731,983.32,6042,57.81,1.92,14
Sweden,Europe,2018,2473,510,1214,749,819.96,9888,148.92,0.62,8
South Africa,Africa,2022,449,72,215,162,410.63,12469,43.02,2.17,1
Egypt,Africa,2018,182,44,91,47,1222.06,15926,83.06,2.15,11
Switzerland,Europe,2018,3637,835,1642,1160,349.24,28626,15.16,0.65,15
Saudi Arabia,Asia,2023,4865,731,2432,1702,251.37,88610,85.02,2.25,11
Mexico,Americas,2015,25484,7202,10665,7617,153.32,57398,82.2,0.31,5
UK,Europe,2020,7191,1168,2882,3141,707.42,20833,8.58,2.22,14
Spain,Europe,2020,7022,1986,2640,2396,673.65,72133,50.03,1.18,1
Ethiopia,Africa,2020,316,62,141,113,1437.52,32261,40.7,1.19,4
Germany,Europe,2021,3057,545,1079,1433,448.69,60049,0.71,0.77,13
Portugal,Europe,2022,1304,199,657,448,330.41,15734,34.02,1.77,7
Cuba,Americas,2020,25991,6980,14199,4812,1376.85,7800,64.64,0.22,11
Uganda,Africa,2015,144,29,75,40,114.27,75279,26.56,2.43,11
Mexico,Americas,2022,29489,10143,11617,7729,499.86,52627,14.22,1.37,11
Argentina,Americas,2023,28872,7585,10409,10878,441.61,69477,147.01,1.7,4
Colombia,Americas,2015,3151,1024,1534,593,90.5,47667,178.24,0.95,13
Singapore,Asia,2015,1066,287,466,313,720.94,14369,153.05,2.16,10
China,Asia,2020,2861,737,1448,676,462.46,10502,132.84,2.06,11
Brazil,Americas,2020,34064,11360,13451,9253,1251.88,69932,185.87,0.66,7
Vietnam,Asia,2015,4908,1401,2675,832,1063.21,19806,133.24,0.35,11
Egypt,Africa,2021,244,45,109,90,1152.45,28273,10.63,1.38,10
India,Asia,2018,1164,260,494,410,20.79,32112,0.92,2.41,1
Venezuela,Americas,2022,36162,8370,17994,9798,935.11,91336,64.99,2.47,9
Austria,Europe,2022,7608,2065,3766,1777,409.55,73349,28.01,1.55,5
Mexico,Americas,2021,27181,5251,11240,10690,1182.66,96720,77.3,2.11,2
Turkey,Asia,2023,840,168,412,260,720.63,52947,171.22,1.96,2
UAE,Asia,2015,777,123,323,331,814.71,22015,170.66,1.35,4
Ghana,Africa,2018,223,71,100,52,812.11,22641,101.97,1.13,12
UK,Europe,2021,1082,173,532,377,1406.78,81928,80.37,1.98,12
UK,Europe,2022,1431,476,553,402,365.95,82658,75.19,0.96,5
Saudi Arabia,Asia,2021,2583,611,1115,857,775.23,90152,106.92,1.17,15
Poland,Europe,2018,5165,1785,2657,723,681.48,75815,49.83,1.35,1
Chile,Americas,2021,38678,10902,16487,11289,958.45,59918,164.47,2.22,12
Belgium,Europe,2023,1084,270,464,350,121.99,14795,99.84,2.13,10
Fiji,Oceania,2015,140,34,60,46,399.99,57142,197.81,1.82,6
Indonesia,Asia,2018,3269,798,1286,1185,725.44,62252,31.64,1.84,5
India,Asia,2021,2128,607,920,601,741.93,14997,88.12,2.04,1
Singapore,Asia,2022,4810,1272,2020,1518,4.02,77346,185.56,1.36,13
India,Asia,2020,5774,899,3163,1712,315.64,24090,83.79,0.94,8
South Africa,Africa,2018,208,56,73,79,146.17,43327,175.02,0.98,13
Egypt,Africa,2015,232,51,116,65,8.48,70114,28.75,0.73,13
Belgium,Europe,2018,3109,1072,1291,746,697.8,14308,36.27,0.74,6
Turkey,Asia,2018,2529,789,1172,568,26.19,98894,152.13,0.69,5
Indonesia,Asia,2020,1804,479,833,492,385.02,8809,3.19,0.38,7
China,Asia,2022,3660,1235,1766,659,369.95,33416,188.96,0.15,3
China,Asia,2021,1845,593,765,487,266.42,69238,131.14,1.73,10
Chile,Americas,2018,34738,11838,13188,9712,272.23,78275,154.06,0.78,7
Singapore,Asia,2015,2551,872,917,762,478.59,64295,191.47,1.99,10
Kenya,Africa,2022,106,28,53,25,510.28,20895,147.86,1.79,5
South Korea,Asia,2015,636,164,233,239,1399.71,58920,145.15,2.42,3
Italy,Europe,2020,6699,1073,2889,2737,571.24,76549,187.53,0.58,9
Jamaica,Americas,2022,6784,1708,3132,1944,427.19,9227,65.22,1.37,6
Sweden,Europe,2023,5721,1647,2843,1231,380.05,94187,195.4,1.26,13
Pakistan,Asia,2018,5463,1276,2573,1614,335.46,85634,133.18,1.97,3
Jamaica,Americas,2021,14150,3863,5556,4731,457.42,38483,33.75,0.57,11
Mexico,Americas,2021,6231,1781,2363,2087,1371.95,82925,170.66,2.03,7
Colombia,Americas,2018,30375,9057,12703,8615,1098.06,44870,37.22,1.65,2
Germany,Europe,2022,446,85,210,151,281.57,64394,109.25,0.43,8
Venezuela,Americas,2015,36715,12709,17659,6347,902.64,18018,58.92,1.38,3
Chile,Americas,2021,15860,3347,8720,3793,1321.36,13300,150.43,0.97,13
Japan,Asia,2022,2254,677,1218,359,86.98,16394,154.48,2.42,6
Switzerland,Europe,2018,5256,1108,2324,1824,1014.42,64560,112.99,0.69,9
Germany,Europe,2018,3578,653,1482,1443,1441.34,12890,11.96,0.68,5
Turkey,Asia,2023,2073,445,1034,594,1338.2,63638,188.36,1.87,13
Tanzania,Africa,2018,437,132,209,96,1273.47,35087,149.2,2.38,3
Brazil,Americas,2015,12699,4051,5596,3052,951.8,38326,20.59,1.59,0
Netherlands,Europe,2021,3807,1076,1534,1197,1220.92,64497,135.2,0.96,4
Ethiopia,Africa,2018,362,72,190,100,1246.39,42835,134.91,2.01,10
Turkey,Asia,2020,2110,637,1094,379,852.58,78132,3.42,1.34,3
Norway,Europe,2020,1556,452,629,475,541.79,29329,24.39,1.96,11
New Zealand,Oceania,2022,455,114,243,98,230.09,92281,145.81,2.11,9
Morocco,Africa,2018,428,106,157,165,1199.11,12568,12.31,1.5,0
Poland,Europe,2020,4358,1047,1565,1746,1151.05,62208,118.59,0.29,15
Uganda,Africa,2021,150,45,76,29,676.6,26447,5.13,0.38,8
Kenya,Africa,2020,471,143,205,123,688.39,75520,138.68,1.91,3
Uganda,Africa,2015,147,34,72,41,453.17,17811,27.67,2.48,2
Jamaica,Americas,2022,39451,12572,18418,8461,66.56,64033,92.39,0.96,9
Chile,Americas,2021,26349,4594,9908,11847,349.76,84106,108.21,0.85,12
Cuba,Americas,2015,25784,7665,13767,4352,848.54,45010,124.87,0.86,11
Chile,Americas,2018,22992,5220,12584,5188,679.0,50930,20.32,1.18,4
Denmark,Europe,2015,7340,2193,3158,1989,331.68,71804,110.25,1.68,15
Belgium,Europe,2022,3783,625,1371,1787,651.31,97677,32.55,2.01,3
UAE,Asia,2022,463,158,208,97,279.43,17784,166.3,2.25,2
South Korea,Asia,2020,2671,630,1088,953,74.93,46072,67.43,0.99,11
Kenya,Africa,2018,207,60,95,52,1218.11,81432,94.09,1.05,11
Morocco,Africa,2015,492,126,226,140,795.63,43256,74.66,1.21,11
Czech Republic,Europe,2020,2299,667,1138,494,93.89,12383,24.26,1.42,12
Austria,Europe,2015,7939,1462,4322,2155,927.44,35245,169.95,2.39,15
Fiji,Oceania,2015,374,105,183,86,143.6,11005,100.88,0.46,5
Australia,Oceania,2023,106,24,38,44,314.65,12724,187.9,0.44,0
Egypt,Africa,2021,298,46,122,130,489.99,59355,101.15,2.16,10
Ethiopia,Africa,2023,413,66,212,135,694.77,90539,75.28,1.01,10
Bangladesh,Asia,2018,605,109,284,212,1135.74,71241,197.81,0.66,15
Kenya,Africa,2015,148,27,55,66,625.24,29292,12.43,0.93,5
Uganda,Africa,2022,385,79,150,156,677.9,11555,110.67,0.84,5
Cuba,Americas,2020,18114,3918,6852,7344,20.51,23334,16.17,1.9,12
Nigeria,Africa,2022,304,54,122,128,1222.54,56105,137.73,0.21,4
Pakistan,Asia,2022,2991,925,1431,635,1026.67,51962,104.45,1.04,10
South Africa,Africa,2023,472,121,221,130,1065.51,11834,25.99,2.43,10
Belgium,Europe,2023,3057,1046,1131,880,1152.03,51693,11.08,0.74,0
Pakistan,Asia,2018,2012,555,745,712,1364.69,84544,116.46,0.99,3
Sweden,Europe,2023,3547,611,1592,1344,1314.21,41284,34.34,0.72,12
Senegal,Africa,2021,222,66,81,75,1215.26,47378,97.57,1.36,12
Israel,Asia,2020,885,224,446,215,798.44,17908,9.94,1.11,14
Japan,Asia,2022,3427,551,1394,1482,437.9,93854,180.62,1.46,5
Singapore,Asia,2021,5564,1110,2736,1718,1383.92,88423,82.9,0.65,7
Italy,Europe,2023,6664,1231,3072,2361,1149.49,76605,180.97,1.9,1
Saudi Arabia,Asia,2020,2888,937,1586,365,313.25,80757,44.9,1.25,12
Japan,Asia,2018,3234,598,1692,944,741.59,92954,197.64,2.39,0
USA,Americas,2020,30929,6584,13249,11096,148.69,93557,72.56,0.53,15
Finland,Europe,2021,6688,1005,2924,2759,1160.23,52451,25.8,0.42,2
Finland,Europe,2023,3933,718,1690,1525,1022.39,27464,8.47,1.92,6
Canada,Americas,2020,22099,7719,11243,3137,7.86,37174,37.27,2.48,5
Brazil,Americas,2022,9026,1488,3191,4347,1096.33,85774,31.09,0.51,2
Norway,Europe,2015,3737,1093,1486,1158,1073.91,71481,95.13,0.83,10
Sweden,Europe,2023,5511,1429,2577,1505,754.73,47965,93.92,0.67,1
Uganda,Africa,2023,258,40,123,95,413.34,22691,195.83,1.41,11
South Africa,Africa,2022,418,71,203,144,1058.15,22843,66.0,1.54,2
Italy,Europe,2021,2843,484,1437,922,715.88,57861,131.21,0.57,0
Iran,Asia,2021,1171,366,513,292,48.5,81147,167.17,0.25,0
Czech Republic,Europe,2015,413,130,210,73,1121.45,88498,46.61,1.59,10
Pakistan,Asia,2023,1613,258,603,752,1352.42,65401,62.44,1.68,6
Argentina,Americas,2023,6449,2134,3489,826,744.37,54589,80.9,1.22,3
Jamaica,Americas,2022,28240,7160,11230,9850,812.75,28545,41.81,2.44,12
Chile,Americas,2018,8769,2236,4181,2352,65.94,68294,89.79,0.84,9
Morocco,Africa,2018,408,88,195,125,142.21,72745,39.1,1.64,4
Mexico,Americas,2018,2377,758,1170,449,1149.6,61227,133.23,1.05,11
South Africa,Africa,2015,203,51,88,64,1150.58,43844,16.43,1.33,15
UK,Europe,2018,5579,1249,2297,2033,265.41,81396,135.22,0.23,12
France,Europe,2023,1927,492,950,485,1187.47,90021,132.35,1.4,7
Nigeria,Africa,2022,422,105,208,109,1417.09,51220,109.19,0.97,12
Indonesia,Asia,2023,3720,1116,1424,1180,1016.2,40456,33.11,0.91,7
Sweden,Europe,2018,2001,566,1060,375,160.23,38554,151.04,1.45,12
Finland,Europe,2018,5464,1346,2254,1864,1237.72,40638,198.24,0.43,13
Tanzania,Africa,2022,152,45,74,33,251.3,16282,163.31,2.37,10
Philippines,Asia,2015,1541,436,718,387,1216.06,75973,148.34,0.63,12
Thailand,Asia,2018,5749,969,2726,2054,1240.55,39719,109.3,0.57,12
Uganda,Africa,2022,355,66,136,153,808.57,14887,30.4,0.13,5
Vietnam,Asia,2020,4402,1238,1975,1189,1440.54,77798,99.72,2.07,1
Czech Republic,Europe,2015,6204,1770,3016,1418,290.76,54437,11.81,2.42,12
Mexico,Americas,2022,33227,5129,12192,15906,562.72,50318,84.97,1.06,14
UAE,Asia,2023,1795,613,842,340,706.46,64395,67.12,1.81,11
Argentina,Americas,2021,31902,5575,17451,8876,1213.97,14098,10.46,0.26,13
Vietnam,Asia,2022,4937,1517,2418,1002,74.37,11256,8.75,1.77,12
Tanzania,Africa,2021,121,32,66,23,1049.07,85206,31.35,0.18,7
Spain,Europe,2018,2339,673,1241,425,95.19,12340,37.56,1.96,1
France,Europe,2018,2579,428,1235,916,672.54,97230,166.55,0.65,0
Kenya,Africa,2023,382,78,168,136,1245.33,34257,167.21,0.63,9
Israel,Asia,2018,2247,560,1016,671,333.02,70239,24.98,0.8,0
Ghana,Africa,2023,160,43,86,31,546.26,57247,76.76,0.18,14
Switzerland,Europe,2015,742,246,322,174,1145.35,36093,28.42,2.42,0
Czech Republic,Europe,2015,6943,2031,3506,1406,263.29,97264,4.93,1.12,8
Jamaica,Americas,2023,16603,2764,8856,4983,716.54,98116,22.78,2.03,3
Philippines,Asia,2018,5150,1064,1842,2244,209.3,45942,22.46,0.95,2
